"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 13:19:56 GMT 2024","Sat Jun 01 13:19:56 GMT 2024","97","API Suite","API Test","com.example.teamcity.api.BuildConfigurationPositiveTest","com.example.teamcity.api.BuildConfigurationPositiveTest","twoBuildConfigurationsCanBeCreatedInOneProject","twoBuildConfigurationsCanBeCreatedInOneProject",""
"passed","Sat Jun 01 13:19:59 GMT 2024","Sat Jun 01 13:19:59 GMT 2024","9","API Suite","API Test","com.example.teamcity.api.BuildConfigurationNegativeTest","com.example.teamcity.api.BuildConfigurationNegativeTest","buildConfigurationCanNotBeCreatedWithoutProject","buildConfigurationCanNotBeCreatedWithoutProject",""
"passed","Sat Jun 01 13:19:59 GMT 2024","Sat Jun 01 13:19:59 GMT 2024","64","API Suite","API Test","com.example.teamcity.api.BuildConfigurationNegativeTest","com.example.teamcity.api.BuildConfigurationNegativeTest","canNotCreateTwoBuildConfigurationsWithTheSameIdEvenInDifferentProjects","canNotCreateTwoBuildConfigurationsWithTheSameIdEvenInDifferentProjects",""
"passed","Sat Jun 01 13:21:12 GMT 2024","Sat Jun 01 13:21:12 GMT 2024","18","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","enablePerProjectPermissions","enablePerProjectPermissions",""
"passed","Sat Jun 01 13:19:57 GMT 2024","Sat Jun 01 13:19:57 GMT 2024","33","API Suite","API Test","com.example.teamcity.api.BuildConfigurationNegativeTest","com.example.teamcity.api.BuildConfigurationNegativeTest","buildConfigurationCanNotBeCreatedInNonExistingProject","buildConfigurationCanNotBeCreatedInNonExistingProject",""
"passed","Sat Jun 01 13:20:52 GMT 2024","Sat Jun 01 13:21:01 GMT 2024","8985","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectAsSubproject","authorizedUserShouldBeAbleCreateNewProjectAsSubproject",""
"passed","Sat Jun 01 13:20:06 GMT 2024","Sat Jun 01 13:20:06 GMT 2024","5","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","enablePerProjectPermissions","enablePerProjectPermissions",""
"passed","Sat Jun 01 13:21:24 GMT 2024","Sat Jun 01 13:21:30 GMT 2024","5965","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","emptyRequiredFieldsCauseErrorsOnBuildConfigCreation","emptyRequiredFieldsCauseErrorsOnBuildConfigCreation",""
"passed","Sat Jun 01 13:20:07 GMT 2024","Sat Jun 01 13:20:08 GMT 2024","29","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"passed","Sat Jun 01 13:20:07 GMT 2024","Sat Jun 01 13:20:07 GMT 2024","118","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Sat Jun 01 13:20:00 GMT 2024","Sat Jun 01 13:20:00 GMT 2024","7","API Suite","API Test","com.example.teamcity.api.CreateProjectPositiveTest","com.example.teamcity.api.CreateProjectPositiveTest","enablePerProjectPermissions","enablePerProjectPermissions",""
"passed","Sat Jun 01 13:20:01 GMT 2024","Sat Jun 01 13:20:02 GMT 2024","52","API Suite","API Test","com.example.teamcity.api.CreateProjectPositiveTest","com.example.teamcity.api.CreateProjectPositiveTest","projectCanBeCreatedWithNameEqualsId","projectCanBeCreatedWithNameEqualsId",""
"passed","Sat Jun 01 13:20:02 GMT 2024","Sat Jun 01 13:20:02 GMT 2024","13","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","enablePerProjectPermissions","enablePerProjectPermissions",""
"passed","Sat Jun 01 13:20:02 GMT 2024","Sat Jun 01 13:20:02 GMT 2024","23","API Suite","API Test","com.example.teamcity.api.CreateProjectPositiveTest","com.example.teamcity.api.CreateProjectPositiveTest","projectCanBeCreatedWithShortId","projectCanBeCreatedWithShortId",""
"passed","Sat Jun 01 13:20:03 GMT 2024","Sat Jun 01 13:20:03 GMT 2024","33","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","canNotCreateTwoProjectsWithTheSameName","canNotCreateTwoProjectsWithTheSameName",""
"passed","Sat Jun 01 13:20:03 GMT 2024","Sat Jun 01 13:20:03 GMT 2024","27","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","canNotCreateTwoProjectsWithTheSameId","canNotCreateTwoProjectsWithTheSameId",""
"passed","Sat Jun 01 13:20:05 GMT 2024","Sat Jun 01 13:20:05 GMT 2024","5","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","projectCanNotBeCreatedWithoutLocator","projectCanNotBeCreatedWithoutLocator",""
"passed","Sat Jun 01 13:20:01 GMT 2024","Sat Jun 01 13:20:01 GMT 2024","24","API Suite","API Test","com.example.teamcity.api.CreateProjectPositiveTest","com.example.teamcity.api.CreateProjectPositiveTest","projectCanBeCreatedWithIdUpTo225Symbols","projectCanBeCreatedWithIdUpTo225Symbols",""
"passed","Sat Jun 01 13:20:05 GMT 2024","Sat Jun 01 13:20:05 GMT 2024","8","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","projectCanNotBeCreatedWithoutName","projectCanNotBeCreatedWithoutName",""
"passed","Sat Jun 01 13:20:04 GMT 2024","Sat Jun 01 13:20:04 GMT 2024","10","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","projectCanNotBeCreatedWithIdStartingWithNumber","projectCanNotBeCreatedWithIdStartingWithNumber",""
"passed","Sat Jun 01 13:19:56 GMT 2024","Sat Jun 01 13:19:56 GMT 2024","62","API Suite","API Test","com.example.teamcity.api.BuildConfigurationPositiveTest","com.example.teamcity.api.BuildConfigurationPositiveTest","buildConfigurationWithStepsCanBeCreated","buildConfigurationWithStepsCanBeCreated",""
"passed","Sat Jun 01 13:20:06 GMT 2024","Sat Jun 01 13:20:06 GMT 2024","157","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Sat Jun 01 13:19:55 GMT 2024","Sat Jun 01 13:19:55 GMT 2024","37","API Suite","API Test","com.example.teamcity.api.BuildConfigurationPositiveTest","com.example.teamcity.api.BuildConfigurationPositiveTest","buildConfigurationCanBeCreatedWithNameEqualsId","buildConfigurationCanBeCreatedWithNameEqualsId",""
"passed","Sat Jun 01 13:20:27 GMT 2024","Sat Jun 01 13:20:49 GMT 2024","21974","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"passed","Sat Jun 01 13:19:58 GMT 2024","Sat Jun 01 13:19:58 GMT 2024","14","API Suite","API Test","com.example.teamcity.api.BuildConfigurationNegativeTest","com.example.teamcity.api.BuildConfigurationNegativeTest","buildConfigurationCanNotBeCreatedWithIdStartingWithNumber","buildConfigurationCanNotBeCreatedWithIdStartingWithNumber",""
"passed","Sat Jun 01 13:19:58 GMT 2024","Sat Jun 01 13:19:58 GMT 2024","18","API Suite","API Test","com.example.teamcity.api.BuildConfigurationNegativeTest","com.example.teamcity.api.BuildConfigurationNegativeTest","buildConfigurationCanNotBeCreatedWithoutId","buildConfigurationCanNotBeCreatedWithoutId",""
