"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jun 01 16:23:25 GMT 2024","Sat Jun 01 16:23:25 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationNegativeTest","com.example.teamcity.api.BuildConfigurationNegativeTest","buildConfigurationCanNotBeCreatedWithoutId","buildConfigurationCanNotBeCreatedWithoutId",""
"broken","Sat Jun 01 16:23:28 GMT 2024","Sat Jun 01 16:23:28 GMT 2024","39","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","canNotCreateTwoProjectsWithTheSameName","canNotCreateTwoProjectsWithTheSameName",""
"skipped","Sat Jun 01 16:23:25 GMT 2024","Sat Jun 01 16:23:25 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationPositiveTest","com.example.teamcity.api.BuildConfigurationPositiveTest","twoBuildConfigurationsWithTheSameNameCanBeCreatedInDifferentProjects","twoBuildConfigurationsWithTheSameNameCanBeCreatedInDifferentProjects",""
"skipped","Sat Jun 01 16:23:25 GMT 2024","Sat Jun 01 16:23:25 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationPositiveTest","com.example.teamcity.api.BuildConfigurationPositiveTest","buildConfigurationWithStepsCanBeCreated","buildConfigurationWithStepsCanBeCreated",""
"broken","Sat Jun 01 16:23:28 GMT 2024","Sat Jun 01 16:23:28 GMT 2024","35","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","canNotCreateTwoProjectsWithTheSameId","canNotCreateTwoProjectsWithTheSameId",""
"broken","Sat Jun 01 16:23:32 GMT 2024","Sat Jun 01 16:23:32 GMT 2024","9","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","enablePerProjectPermissions","enablePerProjectPermissions",""
"skipped","Sat Jun 01 16:23:44 GMT 2024","Sat Jun 01 16:23:44 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","emptyRequiredFieldsCauseErrorsOnProjectCreation","emptyRequiredFieldsCauseErrorsOnProjectCreation",""
"skipped","Sat Jun 01 16:23:44 GMT 2024","Sat Jun 01 16:23:44 GMT 2024","3","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"skipped","Sat Jun 01 16:23:25 GMT 2024","Sat Jun 01 16:23:25 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationPositiveTest","com.example.teamcity.api.BuildConfigurationPositiveTest","buildConfigurationCanBeCreatedWithShortId","buildConfigurationCanBeCreatedWithShortId",""
"passed","Sat Jun 01 16:23:34 GMT 2024","Sat Jun 01 16:23:34 GMT 2024","41","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"skipped","Sat Jun 01 16:23:44 GMT 2024","Sat Jun 01 16:23:44 GMT 2024","1","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","enablePerProjectPermissions","enablePerProjectPermissions",""
"broken","Sat Jun 01 16:23:26 GMT 2024","Sat Jun 01 16:23:26 GMT 2024","50","API Suite","API Test","com.example.teamcity.api.CreateProjectPositiveTest","com.example.teamcity.api.CreateProjectPositiveTest","projectCanBeCreatedWithLongName","projectCanBeCreatedWithLongName",""
"skipped","Sat Jun 01 16:23:44 GMT 2024","Sat Jun 01 16:23:44 GMT 2024","1","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","emptyRequiredFieldsCauseErrorsOnBuildConfigCreation","emptyRequiredFieldsCauseErrorsOnBuildConfigCreation",""
"skipped","Sat Jun 01 16:23:25 GMT 2024","Sat Jun 01 16:23:25 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationNegativeTest","com.example.teamcity.api.BuildConfigurationNegativeTest","buildConfigurationCanNotBeCreatedWithIdMoreThen225Symbols","buildConfigurationCanNotBeCreatedWithIdMoreThen225Symbols",""
"broken","Sat Jun 01 16:23:33 GMT 2024","Sat Jun 01 16:23:33 GMT 2024","51","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Sat Jun 01 16:23:33 GMT 2024","Sat Jun 01 16:23:33 GMT 2024","162","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"broken","Sat Jun 01 16:23:32 GMT 2024","Sat Jun 01 16:23:32 GMT 2024","29","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"skipped","Sat Jun 01 16:23:25 GMT 2024","Sat Jun 01 16:23:25 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationPositiveTest","com.example.teamcity.api.BuildConfigurationPositiveTest","enablePerProjectPermissions","enablePerProjectPermissions",""
"broken","Sat Jun 01 16:23:27 GMT 2024","Sat Jun 01 16:23:27 GMT 2024","52","API Suite","API Test","com.example.teamcity.api.CreateProjectPositiveTest","com.example.teamcity.api.CreateProjectPositiveTest","projectCanBeCreatedWithShortId","projectCanBeCreatedWithShortId",""
"passed","Sat Jun 01 16:23:29 GMT 2024","Sat Jun 01 16:23:29 GMT 2024","25","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","projectCanNotBeCreatedWithIdStartingWithNumber","projectCanNotBeCreatedWithIdStartingWithNumber",""
"broken","Sat Jun 01 16:23:26 GMT 2024","Sat Jun 01 16:23:26 GMT 2024","56","API Suite","API Test","com.example.teamcity.api.CreateProjectPositiveTest","com.example.teamcity.api.CreateProjectPositiveTest","projectCanBeCreatedWithIdUpTo225Symbols","projectCanBeCreatedWithIdUpTo225Symbols",""
"broken","Sat Jun 01 16:23:27 GMT 2024","Sat Jun 01 16:23:27 GMT 2024","47","API Suite","API Test","com.example.teamcity.api.CreateProjectPositiveTest","com.example.teamcity.api.CreateProjectPositiveTest","projectCanBeCreatedWithShortName","projectCanBeCreatedWithShortName",""
"broken","Sat Jun 01 16:23:25 GMT 2024","Sat Jun 01 16:23:25 GMT 2024","4","API Suite","API Test","com.example.teamcity.api.BuildConfigurationPositiveTest","com.example.teamcity.api.BuildConfigurationPositiveTest","prepareTestData","prepareTestData",""
"skipped","Sat Jun 01 16:23:44 GMT 2024","Sat Jun 01 16:23:44 GMT 2024","1","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","enablePerProjectPermissions","enablePerProjectPermissions",""
"skipped","Sat Jun 01 16:23:25 GMT 2024","Sat Jun 01 16:23:25 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationNegativeTest","com.example.teamcity.api.BuildConfigurationNegativeTest","buildConfigurationCanNotBeCreatedWithoutName","buildConfigurationCanNotBeCreatedWithoutName",""
"skipped","Sat Jun 01 16:23:25 GMT 2024","Sat Jun 01 16:23:25 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationNegativeTest","com.example.teamcity.api.BuildConfigurationNegativeTest","buildConfigurationCanNotBeCreatedWithIdStartingWithNumber","buildConfigurationCanNotBeCreatedWithIdStartingWithNumber",""
"passed","Sat Jun 01 16:23:31 GMT 2024","Sat Jun 01 16:23:31 GMT 2024","8","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","projectCanNotBeCreatedWithoutLocator","projectCanNotBeCreatedWithoutLocator",""
"passed","Sat Jun 01 16:23:30 GMT 2024","Sat Jun 01 16:23:30 GMT 2024","14","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","projectCanNotBeCreatedWithNonExistingLocator","projectCanNotBeCreatedWithNonExistingLocator",""
"passed","Sat Jun 01 16:23:30 GMT 2024","Sat Jun 01 16:23:30 GMT 2024","10","API Suite","API Test","com.example.teamcity.api.CreateProjectNegativeTest","com.example.teamcity.api.CreateProjectNegativeTest","projectCanNotBeCreatedWithoutId","projectCanNotBeCreatedWithoutId",""
"skipped","Sat Jun 01 16:23:44 GMT 2024","Sat Jun 01 16:23:44 GMT 2024","1","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectAsSubproject","authorizedUserShouldBeAbleCreateNewProjectAsSubproject",""
"skipped","Sat Jun 01 16:23:25 GMT 2024","Sat Jun 01 16:23:25 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationNegativeTest","com.example.teamcity.api.BuildConfigurationNegativeTest","enablePerProjectPermissions","enablePerProjectPermissions",""
